CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
VỐN CHỦ SỞ HỮU,Q4 2021,151.41,PIV
Vốn Và Các Quỹ,Q4 2021,151.41,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q4 2021,--,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q4 2021,--,PIV
TỔNG CỘNG NGUỒN VỐN,Q4 2021,158.41,PIV
TỔNG TÀI SẢN,Q1 2022,158.17,PIV
TÀI SẢN NGẮN HẠN,Q1 2022,1.20,PIV
Tiền Và Tương Đương Tiền,Q1 2022,0.86,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2022,0.00,PIV
Các Khoản Phải Thu,Q1 2022,0.15,PIV
"Hàng Tồn Kho, Ròng",Q1 2022,0.00,PIV
Tài Sản Lưu Động Khác,Q1 2022,0.19,PIV
TÀI SẢN DÀI HẠN,Q1 2022,156.97,PIV
Phải Thu Dài Hạn,Q1 2022,0.00,PIV
Tài Sản Cố Định,Q1 2022,0.37,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2022,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q1 2022,0.00,PIV
Đầu Tư Dài Hạn,Q1 2022,156.60,PIV
Tài Sản Dài Hạn Khác,Q1 2022,0.00,PIV
NỢ PHẢI TRẢ,Q1 2022,7.01,PIV
Nợ Ngắn Hạn,Q1 2022,7.01,PIV
Nợ Dài Hạn,Q1 2022,0.00,PIV
VỐN CHỦ SỞ HỮU,Q1 2022,151.16,PIV
Vốn Và Các Quỹ,Q1 2022,151.16,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2022,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2022,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q1 2022,158.17,PIV
TỔNG TÀI SẢN,Q2 2022,157.91,PIV
TÀI SẢN NGẮN HẠN,Q2 2022,1.13,PIV
