CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
NỢ PHẢI TRẢ,Q4 2021,"36,572.97",PLA
Nợ Ngắn Hạn,Q4 2021,"36,479.18",PLA
Nợ Dài Hạn,Q4 2021,93.79,PLA
VỐN CHỦ SỞ HỮU,Q4 2021,"14,220.08",PLA
Vốn Và Các Quỹ,Q4 2021,"14,220.08",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q4 2021,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q4 2021,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q4 2021,"50,793.06",PLA
TỔNG TÀI SẢN,Q1 2022,"50,081.42",PLA
TÀI SẢN NGẮN HẠN,Q1 2022,"45,511.16",PLA
Tiền Và Tương Đương Tiền,Q1 2022,804.92,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2022,"44,258.27",PLA
Các Khoản Phải Thu,Q1 2022,358.77,PLA
"Hàng Tồn Kho, Ròng",Q1 2022,0.00,PLA
Tài Sản Lưu Động Khác,Q1 2022,119.99,PLA
TÀI SẢN DÀI HẠN,Q1 2022,"4,570.26",PLA
Phải Thu Dài Hạn,Q1 2022,0.00,PLA
Tài Sản Cố Định,Q1 2022,171.84,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2022,232.48,PLA
Tài Sản Dở Dang Dài Hạn,Q1 2022,53.65,PLA
Đầu Tư Dài Hạn,Q1 2022,"3,993.13",PLA
Tài Sản Dài Hạn Khác,Q1 2022,119.16,PLA
NỢ PHẢI TRẢ,Q1 2022,"35,013.40",PLA
Nợ Ngắn Hạn,Q1 2022,"34,946.11",PLA
Nợ Dài Hạn,Q1 2022,67.30,PLA
VỐN CHỦ SỞ HỮU,Q1 2022,"15,068.01",PLA
Vốn Và Các Quỹ,Q1 2022,"15,068.01",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2022,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2022,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q1 2022,"50,081.42",PLA
TỔNG TÀI SẢN,Q2 2022,"43,271.69",PLA
TÀI SẢN NGẮN HẠN,Q2 2022,"38,842.01",PLA
Tiền Và Tương Đương Tiền,Q2 2022,238.48,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2022,"37,921.80",PLA
Các Khoản Phải Thu,Q2 2022,535.36,PLA
"Hàng Tồn Kho, Ròng",Q2 2022,0.00,PLA
Tài Sản Lưu Động Khác,Q2 2022,146.38,PLA
TÀI SẢN DÀI HẠN,Q2 2022,"4,429.68",PLA
Phải Thu Dài Hạn,Q2 2022,0.00,PLA
Tài Sản Cố Định,Q2 2022,214.80,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2022,266.29,PLA
Tài Sản Dở Dang Dài Hạn,Q2 2022,33.72,PLA
Đầu Tư Dài Hạn,Q2 2022,"3,778.05",PLA
Tài Sản Dài Hạn Khác,Q2 2022,136.81,PLA
NỢ PHẢI TRẢ,Q2 2022,"28,904.94",PLA
Nợ Ngắn Hạn,Q2 2022,"28,844.82",PLA
Nợ Dài Hạn,Q2 2022,60.13,PLA
VỐN CHỦ SỞ HỮU,Q2 2022,"14,366.75",PLA
Vốn Và Các Quỹ,Q2 2022,"14,366.75",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2022,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2022,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q2 2022,"43,271.69",PLA
TỔNG TÀI SẢN,Q3 2022,"45,436.36",PLA
TÀI SẢN NGẮN HẠN,Q3 2022,"42,024.27",PLA
Tiền Và Tương Đương Tiền,Q3 2022,615.64,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2022,"40,327.64",PLA
Các Khoản Phải Thu,Q3 2022,930.55,PLA
"Hàng Tồn Kho, Ròng",Q3 2022,0.00,PLA
Tài Sản Lưu Động Khác,Q3 2022,150.44,PLA
TÀI SẢN DÀI HẠN,Q3 2022,"3,412.09",PLA
Phải Thu Dài Hạn,Q3 2022,0.00,PLA
Tài Sản Cố Định,Q3 2022,206.02,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2022,271.32,PLA
Tài Sản Dở Dang Dài Hạn,Q3 2022,55.63,PLA
Đầu Tư Dài Hạn,Q3 2022,"2,726.34",PLA
Tài Sản Dài Hạn Khác,Q3 2022,152.78,PLA
NỢ PHẢI TRẢ,Q3 2022,"23,274.55",PLA
Nợ Ngắn Hạn,Q3 2022,"23,221.46",PLA
Nợ Dài Hạn,Q3 2022,53.09,PLA
VỐN CHỦ SỞ HỮU,Q3 2022,"22,161.81",PLA
Vốn Và Các Quỹ,Q3 2022,"22,161.81",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2022,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2022,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q3 2022,"45,436.36",PLA
TỔNG TÀI SẢN,Q4 2022,"52,226.38",PLA
TÀI SẢN NGẮN HẠN,Q4 2022,"48,731.92",PLA
Tiền Và Tương Đương Tiền,Q4 2022,"1,417.81",PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q4 2022,"45,402.18",PLA
Các Khoản Phải Thu,Q4 2022,"1,801.90",PLA
"Hàng Tồn Kho, Ròng",Q4 2022,0.00,PLA
Tài Sản Lưu Động Khác,Q4 2022,110.03,PLA
TÀI SẢN DÀI HẠN,Q4 2022,"3,494.47",PLA
Phải Thu Dài Hạn,Q4 2022,0.00,PLA
Tài Sản Cố Định,Q4 2022,281.93,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q4 2022,265.11,PLA
Tài Sản Dở Dang Dài Hạn,Q4 2022,25.90,PLA
Đầu Tư Dài Hạn,Q4 2022,"2,773.07",PLA
Tài Sản Dài Hạn Khác,Q4 2022,148.45,PLA
NỢ PHẢI TRẢ,Q4 2022,"29,842.50",PLA
Nợ Ngắn Hạn,Q4 2022,"29,788.71",PLA
Nợ Dài Hạn,Q4 2022,53.79,PLA
VỐN CHỦ SỞ HỮU,Q4 2022,"22,383.88",PLA
Vốn Và Các Quỹ,Q4 2022,"22,383.88",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q4 2022,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q4 2022,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q4 2022,"52,226.38",PLA
TỔNG TÀI SẢN,Q1 2023,"52,708.90",PLA
TÀI SẢN NGẮN HẠN,Q1 2023,"49,184.62",PLA
Tiền Và Tương Đương Tiền,Q1 2023,142.51,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2023,"47,295.34",PLA
Các Khoản Phải Thu,Q1 2023,"1,609.33",PLA
"Hàng Tồn Kho, Ròng",Q1 2023,0.00,PLA
Tài Sản Lưu Động Khác,Q1 2023,137.44,PLA
TÀI SẢN DÀI HẠN,Q1 2023,"3,524.28",PLA
Phải Thu Dài Hạn,Q1 2023,0.00,PLA
Tài Sản Cố Định,Q1 2023,260.72,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2023,261.23,PLA
Tài Sản Dở Dang Dài Hạn,Q1 2023,26.54,PLA
Đầu Tư Dài Hạn,Q1 2023,"2,808.79",PLA
Tài Sản Dài Hạn Khác,Q1 2023,167.00,PLA
NỢ PHẢI TRẢ,Q1 2023,"29,736.15",PLA
Nợ Ngắn Hạn,Q1 2023,"29,680.30",PLA
Nợ Dài Hạn,Q1 2023,55.85,PLA
VỐN CHỦ SỞ HỮU,Q1 2023,"22,972.75",PLA
Vốn Và Các Quỹ,Q1 2023,"22,972.75",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2023,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2023,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q1 2023,"52,708.90",PLA
TỔNG TÀI SẢN,Q2 2023,"50,136.08",PLA
TÀI SẢN NGẮN HẠN,Q2 2023,"46,622.42",PLA
Tiền Và Tương Đương Tiền,Q2 2023,155.38,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2023,"44,826.00",PLA
Các Khoản Phải Thu,Q2 2023,"1,502.47",PLA
"Hàng Tồn Kho, Ròng",Q2 2023,0.00,PLA
Tài Sản Lưu Động Khác,Q2 2023,138.57,PLA
TÀI SẢN DÀI HẠN,Q2 2023,"3,513.67",PLA
Phải Thu Dài Hạn,Q2 2023,0.00,PLA
Tài Sản Cố Định,Q2 2023,249.11,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2023,233.52,PLA
Tài Sản Dở Dang Dài Hạn,Q2 2023,30.08,PLA
Đầu Tư Dài Hạn,Q2 2023,"2,847.34",PLA
Tài Sản Dài Hạn Khác,Q2 2023,153.61,PLA
NỢ PHẢI TRẢ,Q2 2023,"28,142.52",PLA
Nợ Ngắn Hạn,Q2 2023,"28,087.37",PLA
Nợ Dài Hạn,Q2 2023,55.15,PLA
VỐN CHỦ SỞ HỮU,Q2 2023,"21,993.57",PLA
Vốn Và Các Quỹ,Q2 2023,"21,993.57",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2023,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2023,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q2 2023,"50,136.08",PLA
TỔNG TÀI SẢN,Q3 2023,"55,282.45",PLA
TÀI SẢN NGẮN HẠN,Q3 2023,"51,841.64",PLA
Tiền Và Tương Đương Tiền,Q3 2023,410.97,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2023,"49,928.73",PLA
Các Khoản Phải Thu,Q3 2023,"1,375.66",PLA
"Hàng Tồn Kho, Ròng",Q3 2023,0.00,PLA
