CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2022,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2022,-0.08,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2022,0.86,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2022,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2022,0.78,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2022,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2022,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2022,-0.17,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2022,0.78,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2022,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2022,0.61,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2022,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2022,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2022,-0.26,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2022,0.61,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2022,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2022,0.35,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2023,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2023,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2023,0.89,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2023,0.34,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2023,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2023,1.23,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2023,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2023,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2023,-0.46,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2023,1.23,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2023,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2023,0.77,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2023,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2023,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2023,0.78,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2023,0.77,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2023,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2023,1.55,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2023,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2023,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2023,0.17,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2023,1.55,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2023,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2023,1.73,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2024,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2024,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2024,-1.26,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2024,1.73,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2024,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2024,0.47,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2024,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2024,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2024,0.66,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2024,0.47,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2024,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2024,1.13,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-1.06,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,1.13,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,0.07,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2017,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2017,19.02,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2017,-0.69,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2017,1.07,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2017,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2017,0.38,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2017,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2017,17.64,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2017,-0.03,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2017,0.38,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2017,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2017,0.36,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2017,-43.00,PIV
