CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q1 2015,-0.02,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q1 2015,-0.39,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q1 2015,0.00,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q1 2015,-0.39,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q1 2015,0,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q1 2015,0,PLA
EBITDA,Q1 2015,-1.28,PLA
Doanh Số,Q2 2015,7.16,PLA
Các Khoản Giảm Trừ,Q2 2015,0.00,PLA
Doanh Số Thuần,Q2 2015,7.16,PLA
Giá Vốn Hàng Bán,Q2 2015,-7.33,PLA
Lãi Gộp,Q2 2015,-0.17,PLA
Thu Nhập Tài Chính,Q2 2015,1.14,PLA
Chi Phí Tài Chính,Q2 2015,0.22,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q2 2015,0.00,PLA
Chi Phí Bán Hàng,Q2 2015,-0.13,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q2 2015,-4.61,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q2 2015,-3.54,PLA
"Thu Nhập Khác, Ròng",Q2 2015,-23.34,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q2 2015,0.00,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q2 2015,-26.88,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q2 2015,0.02,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q2 2015,-26.86,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q2 2015,-8.14,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q2 2015,-18.73,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q2 2015,0,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q2 2015,0,PLA
EBITDA,Q2 2015,-4.89,PLA
Doanh Số,Q3 2015,10.41,PLA
Các Khoản Giảm Trừ,Q3 2015,0.00,PLA
Doanh Số Thuần,Q3 2015,10.41,PLA
Giá Vốn Hàng Bán,Q3 2015,-9.84,PLA
Lãi Gộp,Q3 2015,0.57,PLA
Thu Nhập Tài Chính,Q3 2015,1.88,PLA
Chi Phí Tài Chính,Q3 2015,-0.08,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2015,0.00,PLA
Chi Phí Bán Hàng,Q3 2015,-0.12,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q3 2015,-2.38,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2015,-0.13,PLA
"Thu Nhập Khác, Ròng",Q3 2015,-0.01,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2015,-0.06,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2015,-0.20,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2015,-3.06,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2015,-3.26,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2015,0.33,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2015,-3.59,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2015,-180,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2015,0,PLA
EBITDA,Q3 2015,-2.61,PLA
Doanh Số,Q4 2015,11.86,PLA
Các Khoản Giảm Trừ,Q4 2015,0.00,PLA
Doanh Số Thuần,Q4 2015,11.86,PLA
Giá Vốn Hàng Bán,Q4 2015,-10.85,PLA
Lãi Gộp,Q4 2015,1.01,PLA
Thu Nhập Tài Chính,Q4 2015,1.67,PLA
Chi Phí Tài Chính,Q4 2015,0.01,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q4 2015,-0.11,PLA
Chi Phí Bán Hàng,Q4 2015,-0.14,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q4 2015,-5.35,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q4 2015,-2.91,PLA
"Thu Nhập Khác, Ròng",Q4 2015,-0.01,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q4 2015,0.00,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q4 2015,-2.92,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q4 2015,-0.16,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q4 2015,-3.08,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q4 2015,-0.13,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q4 2015,-2.95,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q4 2015,-148,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q4 2015,0,PLA
EBITDA,Q4 2015,-4.34,PLA
