CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2022,101.83,AGG
Các Khoản Phải Thu,Q1 2022,"4,172.72",AGG
"Hàng Tồn Kho, Ròng",Q1 2022,"6,668.57",AGG
Tài Sản Lưu Động Khác,Q1 2022,854.57,AGG
TÀI SẢN DÀI HẠN,Q1 2022,"1,495.37",AGG
Phải Thu Dài Hạn,Q1 2022,"1,130.20",AGG
Tài Sản Cố Định,Q1 2022,30.60,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2022,18.12,AGG
Tài Sản Dở Dang Dài Hạn,Q1 2022,11.44,AGG
Đầu Tư Dài Hạn,Q1 2022,226.41,AGG
Tài Sản Dài Hạn Khác,Q1 2022,78.60,AGG
NỢ PHẢI TRẢ,Q1 2022,"11,605.18",AGG
Nợ Ngắn Hạn,Q1 2022,"8,208.14",AGG
Nợ Dài Hạn,Q1 2022,"3,397.04",AGG
VỐN CHỦ SỞ HỮU,Q1 2022,"2,885.77",AGG
Vốn Và Các Quỹ,Q1 2022,"2,885.77",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2022,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2022,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q1 2022,"14,490.95",AGG
TỔNG TÀI SẢN,Q2 2022,"12,629.58",AGG
TÀI SẢN NGẮN HẠN,Q2 2022,"10,816.53",AGG
Tiền Và Tương Đương Tiền,Q2 2022,"1,662.25",AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2022,116.88,AGG
Các Khoản Phải Thu,Q2 2022,"3,298.01",AGG
"Hàng Tồn Kho, Ròng",Q2 2022,"5,050.58",AGG
Tài Sản Lưu Động Khác,Q2 2022,688.81,AGG
TÀI SẢN DÀI HẠN,Q2 2022,"1,813.05",AGG
Phải Thu Dài Hạn,Q2 2022,"1,456.31",AGG
Tài Sản Cố Định,Q2 2022,29.19,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2022,18.02,AGG
Tài Sản Dở Dang Dài Hạn,Q2 2022,13.33,AGG
Đầu Tư Dài Hạn,Q2 2022,196.18,AGG
Tài Sản Dài Hạn Khác,Q2 2022,100.01,AGG
NỢ PHẢI TRẢ,Q2 2022,"9,574.35",AGG
Nợ Ngắn Hạn,Q2 2022,"7,347.55",AGG
Nợ Dài Hạn,Q2 2022,"2,226.80",AGG
VỐN CHỦ SỞ HỮU,Q2 2022,"3,055.23",AGG
Vốn Và Các Quỹ,Q2 2022,"3,055.23",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2022,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2022,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q2 2022,"12,629.58",AGG
TỔNG TÀI SẢN,Q3 2022,"10,943.54",AGG
TÀI SẢN NGẮN HẠN,Q3 2022,"8,572.34",AGG
Tiền Và Tương Đương Tiền,Q3 2022,"1,093.72",AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2022,159.20,AGG
Các Khoản Phải Thu,Q3 2022,"3,106.34",AGG
"Hàng Tồn Kho, Ròng",Q3 2022,"3,665.53",AGG
Tài Sản Lưu Động Khác,Q3 2022,547.55,AGG
TÀI SẢN DÀI HẠN,Q3 2022,"2,371.21",AGG
Phải Thu Dài Hạn,Q3 2022,"2,035.01",AGG
Tài Sản Cố Định,Q3 2022,27.81,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2022,17.92,AGG
Tài Sản Dở Dang Dài Hạn,Q3 2022,14.57,AGG
Đầu Tư Dài Hạn,Q3 2022,182.09,AGG
Tài Sản Dài Hạn Khác,Q3 2022,93.82,AGG
NỢ PHẢI TRẢ,Q3 2022,"7,778.93",AGG
Nợ Ngắn Hạn,Q3 2022,"5,697.87",AGG
Nợ Dài Hạn,Q3 2022,"2,081.06",AGG
VỐN CHỦ SỞ HỮU,Q3 2022,"3,164.62",AGG
Vốn Và Các Quỹ,Q3 2022,"3,164.62",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2022,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2022,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q3 2022,"10,943.54",AGG
TỔNG TÀI SẢN,Q4 2022,"11,098.53",AGG
TÀI SẢN NGẮN HẠN,Q4 2022,"8,700.82",AGG
Tiền Và Tương Đương Tiền,Q4 2022,722.80,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q4 2022,68.15,AGG
Các Khoản Phải Thu,Q4 2022,"3,641.29",AGG
"Hàng Tồn Kho, Ròng",Q4 2022,"3,722.77",AGG
Tài Sản Lưu Động Khác,Q4 2022,545.81,AGG
TÀI SẢN DÀI HẠN,Q4 2022,"2,397.71",AGG
Phải Thu Dài Hạn,Q4 2022,"2,089.19",AGG
Tài Sản Cố Định,Q4 2022,20.77,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q4 2022,17.82,AGG
Tài Sản Dở Dang Dài Hạn,Q4 2022,13.11,AGG
Đầu Tư Dài Hạn,Q4 2022,161.03,AGG
Tài Sản Dài Hạn Khác,Q4 2022,95.79,AGG
NỢ PHẢI TRẢ,Q4 2022,"8,372.91",AGG
Nợ Ngắn Hạn,Q4 2022,"6,015.50",AGG
Nợ Dài Hạn,Q4 2022,"2,357.41",AGG
VỐN CHỦ SỞ HỮU,Q4 2022,"2,725.62",AGG
Vốn Và Các Quỹ,Q4 2022,"2,725.62",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q4 2022,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q4 2022,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q4 2022,"11,098.53",AGG
TỔNG TÀI SẢN,Q1 2023,"10,608.72",AGG
TÀI SẢN NGẮN HẠN,Q1 2023,"8,594.57",AGG
Tiền Và Tương Đương Tiền,Q1 2023,619.98,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2023,58.95,AGG
Các Khoản Phải Thu,Q1 2023,"3,296.41",AGG
"Hàng Tồn Kho, Ròng",Q1 2023,"4,059.22",AGG
Tài Sản Lưu Động Khác,Q1 2023,560.01,AGG
TÀI SẢN DÀI HẠN,Q1 2023,"2,014.16",AGG
Phải Thu Dài Hạn,Q1 2023,"1,724.93",AGG
Tài Sản Cố Định,Q1 2023,18.08,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2023,17.73,AGG
Tài Sản Dở Dang Dài Hạn,Q1 2023,14.22,AGG
Đầu Tư Dài Hạn,Q1 2023,137.86,AGG
Tài Sản Dài Hạn Khác,Q1 2023,101.34,AGG
NỢ PHẢI TRẢ,Q1 2023,"7,870.77",AGG
Nợ Ngắn Hạn,Q1 2023,"5,835.83",AGG
Nợ Dài Hạn,Q1 2023,"2,034.93",AGG
VỐN CHỦ SỞ HỮU,Q1 2023,"2,737.96",AGG
Vốn Và Các Quỹ,Q1 2023,"2,737.96",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2023,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2023,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q1 2023,"10,608.72",AGG
TỔNG TÀI SẢN,Q2 2023,"9,609.04",AGG
TÀI SẢN NGẮN HẠN,Q2 2023,"8,559.23",AGG
Tiền Và Tương Đương Tiền,Q2 2023,174.63,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2023,53.49,AGG
Các Khoản Phải Thu,Q2 2023,"4,618.18",AGG
"Hàng Tồn Kho, Ròng",Q2 2023,"3,353.08",AGG
Tài Sản Lưu Động Khác,Q2 2023,359.84,AGG
TÀI SẢN DÀI HẠN,Q2 2023,"1,049.81",AGG
Phải Thu Dài Hạn,Q2 2023,795.40,AGG
Tài Sản Cố Định,Q2 2023,17.78,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2023,17.63,AGG
Tài Sản Dở Dang Dài Hạn,Q2 2023,14.22,AGG
Đầu Tư Dài Hạn,Q2 2023,115.86,AGG
Tài Sản Dài Hạn Khác,Q2 2023,88.91,AGG
NỢ PHẢI TRẢ,Q2 2023,"6,738.18",AGG
Nợ Ngắn Hạn,Q2 2023,"5,623.79",AGG
