CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lợi Ích Của Cổ Đông Thiểu Số,Q4 2021,6.88,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q4 2021,214.78,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q4 2021,2596,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q4 2021,2596,AGG
EBITDA,Q4 2021,33.57,AGG
Các Khoản Giảm Trừ,Q1 2022,0.00,AGG
Doanh Số Thuần,Q1 2022,562.62,AGG
Giá Vốn Hàng Bán,Q1 2022,-441.32,AGG
Lãi Gộp,Q1 2022,121.30,AGG
Thu Nhập Tài Chính,Q1 2022,73.08,AGG
Chi Phí Tài Chính,Q1 2022,-86.30,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q1 2022,-3.58,AGG
Chi Phí Bán Hàng,Q1 2022,-55.28,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q1 2022,-24.79,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q1 2022,24.43,AGG
"Thu Nhập Khác, Ròng",Q1 2022,4.75,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q1 2022,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q1 2022,29.18,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q1 2022,-25.60,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q1 2022,3.57,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q1 2022,2.27,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q1 2022,1.30,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q1 2022,15,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q1 2022,0,AGG
EBITDA,Q1 2022,42.88,AGG
Các Khoản Giảm Trừ,Q2 2022,0.00,AGG
Doanh Số Thuần,Q2 2022,"2,709.30",AGG
Giá Vốn Hàng Bán,Q2 2022,"-2,178.60",AGG
Lãi Gộp,Q2 2022,530.70,AGG
Thu Nhập Tài Chính,Q2 2022,79.49,AGG
Chi Phí Tài Chính,Q2 2022,-103.06,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q2 2022,-30.23,AGG
Chi Phí Bán Hàng,Q2 2022,-253.12,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q2 2022,-33.11,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q2 2022,190.67,AGG
"Thu Nhập Khác, Ròng",Q2 2022,-7.26,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q2 2022,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q2 2022,183.41,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q2 2022,-13.16,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q2 2022,170.24,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q2 2022,50.65,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q2 2022,119.60,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q2 2022,1159,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q2 2022,1174,AGG
EBITDA,Q2 2022,247.62,AGG
Các Khoản Giảm Trừ,Q3 2022,0.00,AGG
Doanh Số Thuần,Q3 2022,"2,193.93",AGG
Giá Vốn Hàng Bán,Q3 2022,"-1,892.51",AGG
Lãi Gộp,Q3 2022,301.42,AGG
Thu Nhập Tài Chính,Q3 2022,83.31,AGG
Chi Phí Tài Chính,Q3 2022,-85.97,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2022,-14.10,AGG
Chi Phí Bán Hàng,Q3 2022,-194.41,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q3 2022,-23.20,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2022,67.05,AGG
"Thu Nhập Khác, Ròng",Q3 2022,11.96,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2022,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2022,79.02,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2022,29.59,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2022,108.61,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2022,66.56,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2022,42.05,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2022,366,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2022,366,AGG
EBITDA,Q3 2022,85.30,AGG
Các Khoản Giảm Trừ,Q4 2022,0.00,AGG
Doanh Số Thuần,Q4 2022,"5,501.26",AGG
Giá Vốn Hàng Bán,Q4 2022,"-4,663.83",AGG
Lãi Gộp,Q4 2022,837.42,AGG
Thu Nhập Tài Chính,Q4 2022,30.31,AGG
Chi Phí Tài Chính,Q4 2022,-111.40,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q4 2022,-158.30,AGG
Chi Phí Bán Hàng,Q4 2022,-577.12,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q4 2022,-27.47,AGG
