CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-0.30,D2D
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,0.00,D2D
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,27.78,D2D
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,47.40,D2D
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,D2D
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,75.18,D2D
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,0.52,MGR
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-0.80,MGR
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,0.00,MGR
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-0.28,MGR
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,4.26,MGR
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,MGR
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,3.98,MGR
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,10.46,HPI
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-15.91,HPI
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-1.55,HPI
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-7.00,HPI
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,18.63,HPI
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,-0.00,HPI
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,11.62,HPI
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-41.70,DRH
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-0.05,DRH
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-7.14,DRH
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-48.89,DRH
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,66.44,DRH
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,DRH
