CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,0.16,PTL
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,-13.44,PTL
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,-2.31,PTL
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,-11.13,PTL
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,-112,PTL
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,-112,PTL
EBITDA,Q3 2024,-10.54,PTL
Doanh Số,Q3 2024,2.63,PDR
Các Khoản Giảm Trừ,Q3 2024,0.00,PDR
Doanh Số Thuần,Q3 2024,2.63,PDR
Giá Vốn Hàng Bán,Q3 2024,-1.28,PDR
Lãi Gộp,Q3 2024,1.34,PDR
Thu Nhập Tài Chính,Q3 2024,194.04,PDR
Chi Phí Tài Chính,Q3 2024,-74.51,PDR
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,-17.16,PDR
Chi Phí Bán Hàng,Q3 2024,-4.33,PDR
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-44.04,PDR
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,55.34,PDR
"Thu Nhập Khác, Ròng",Q3 2024,23.40,PDR
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,PDR
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,78.74,PDR
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-27.53,PDR
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,51.21,PDR
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,-0.03,PDR
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,51.24,PDR
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,60,PDR
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,0,PDR
EBITDA,Q3 2024,-42.66,PDR
Doanh Số,Q3 2024,162.36,DTD
Các Khoản Giảm Trừ,Q3 2024,0.00,DTD
Doanh Số Thuần,Q3 2024,162.36,DTD
Giá Vốn Hàng Bán,Q3 2024,-79.52,DTD
Lãi Gộp,Q3 2024,82.84,DTD
Thu Nhập Tài Chính,Q3 2024,8.72,DTD
Chi Phí Tài Chính,Q3 2024,-1.38,DTD
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,DTD
Chi Phí Bán Hàng,Q3 2024,-1.28,DTD
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-5.64,DTD
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,83.25,DTD
"Thu Nhập Khác, Ròng",Q3 2024,-0.16,DTD
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,DTD
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,83.09,DTD
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-16.81,DTD
