CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
TÀI SẢN DÀI HẠN,Q3 2024,95.95,D11
Phải Thu Dài Hạn,Q3 2024,0.00,D11
Tài Sản Cố Định,Q3 2024,3.59,D11
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2024,92.36,D11
Tài Sản Dở Dang Dài Hạn,Q3 2024,0.00,D11
Đầu Tư Dài Hạn,Q3 2024,0.00,D11
Tài Sản Dài Hạn Khác,Q3 2024,0.00,D11
NỢ PHẢI TRẢ,Q3 2024,161.43,D11
Nợ Ngắn Hạn,Q3 2024,140.96,D11
Nợ Dài Hạn,Q3 2024,20.47,D11
VỐN CHỦ SỞ HỮU,Q3 2024,188.18,D11
Vốn Và Các Quỹ,Q3 2024,188.18,D11
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2024,0.00,D11
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2024,0.00,D11
TỔNG CỘNG NGUỒN VỐN,Q3 2024,349.60,D11
